"Paysley", "Paysley"
"Paysley Settings", "Paysley إعدادات"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley يعيد توجيه العملاء إلى Paysley لإدخال معلومات الدفع الخاصة بهم."
"Title", "عنوان"
"This is the title which the user sees during checkout.", "هذا هو العنوان الذي يراه المستخدم أثناء الخروج."
"Description", "وصف"
"This is the description which the user sees during checkout.", "هذا هو الوصف الذي يراه المستخدم أثناء الخروج."
"Access Key", "مفتاح الوصول"
"This is the access key, received from Paysley developer portal. ( required )", "هذا هو مفتاح الوصول، المستلم من بوابة مطوري Paysley. (مطلوب)"
"Enable Logging", "تمكين التسجيل"
"Enable transaction logging for Paysley.", "تمكين تسجيل المعاملات لـ Paysley."
"Payment Methods", "طرق الدفع"
"Active", "نشيط"
"Error while Processing Request: please try again.", "خطأ أثناء معالجة الطلب: الرجاء المحاولة مرة أخرى."
"How to execute a Full Refund?", "كيفية تنفيذ استرداد كامل الأموال؟"
"How to execute a Partial Refund?", "كيفية تنفيذ استرداد جزئي؟"

"On administration panel go to menu : Sales > Orders", "في لوحة الإدارة، انتقل إلى القائمة: المبيعات > الأوامر"
"Select the transaction that you want to refund", "حدد المعاملة التي تريد استرجاع أموالك"
"Click invoice menu on the left side", "انقر على قائمة الفاتورة على الجانب الأيسر"
"Click the invoice data on the right side", "انقر على بيانات الفاتورة على الجانب الأيمن"
"Click on Credit memo", "اضغط على مذكرة الائتمان"
"Then click the refund button", "ثم انقر على زر استرداد الأموال"
"On administration panel go to menu : Sales > Orders", "في لوحة الإدارة، انتقل إلى القائمة: المبيعات > الأوامر"
"Select the transaction that you want to refund", "حدد المعاملة التي تريد استرجاع أموالك"
"Click invoice menu on the left side", "انقر على قائمة الفاتورة على الجانب الأيسر"
"Click the invoice data on the right side", "انقر على بيانات الفاتورة على الجانب الأيمن"
"Click on Credit memo", "اضغط على مذكرة الائتمان"
"Choose the product quantity that you want to refund at Qty to Refund column", "اختر كمية المنتج التي تريد استردادها في عمود الكمية لاسترداد الأموال"
"Click the Update Qty’s button", "انقر فوق الزر تحديث الكمية"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "استرداد المدخلات الشحن، تسوية استرداد، رسوم التعديل"
"Then click the refund button", "ثم انقر على زر استرداد الأموال"

"Error while Processing Request: please try again.", "خطأ أثناء معالجة الطلب: الرجاء المحاولة مرة أخرى."
"Your order on", "طلبك على"
"is in the process.", "هو في هذه العملية."
"Please back again after a minutes and check your order history", "يرجى العودة مرة أخرى بعد دقائق والتحقق من سجل طلبك"
"processing", "المعالجة"
"payment_accepted", "الدفع مقبول"
