"Paysley", "Paysley"
"Paysley Settings", "Paysley-Einstellungen"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley leitet Kunden an Paysley weiter, um ihre Zahlungsinformationen einzugeben."
"Title", "Titel"
"This is the title which the user sees during checkout.", "Dies ist der Titel, den der Benutzer beim Auschecken sieht."
"Description", "Beschreibung"
"This is the description which the user sees during checkout.", "Dies ist die Beschreibung, die der Benutzer beim Checkout sieht."
"Access Key", "Zugriffs-Schlüssel"
"This is the access key, received from Paysley developer portal. ( required )", "Dies ist der Zugriffsschlüssel, der vom Paysley-Entwicklerportal empfangen wurde. (erforderlich)"
"Enable Logging", "Protokollierung aktivieren"
"Enable transaction logging for Paysley.", "Aktivieren Sie die Transaktionsprotokollierung für Paysley."
"Payment Methods", "Zahlungsmethoden"
"Active", "Aktiv"
"Error while Processing Request: please try again.", "Fehler beim Verarbeiten der Anforderung: Bitte versuchen Sie es erneut."
"How to execute a Full Refund?", "Wie führe ich eine vollständige Rückerstattung aus?"
"How to execute a Partial Refund?", "Wie führe ich eine teilweise Rückerstattung aus?"

"On administration panel go to menu : Sales > Orders", "Im Administrationspanel gehen Sie zum Menü: Verkauf > Bestellungen"
"Select the transaction that you want to refund", "Wählen Sie die Transaktion aus, die Sie erstatten möchten"
"Click invoice menu on the left side", "Klicken Sie auf Rechnungsmenü auf der linken Seite"
"Click the invoice data on the right side", "Klicken Sie auf die Rechnungsdaten auf der rechten Seite"
"Click on Credit memo", "Klicken Sie auf Gutschrift"
"Then click the refund button", "Klicken Sie dann auf die Schaltfläche Erstattung."
"On administration panel go to menu : Sales > Orders", "Im Administrationspanel gehen Sie zum Menü: Verkauf > Bestellungen"
"Select the transaction that you want to refund", "Wählen Sie die Transaktion aus, die Sie erstatten möchten"
"Click invoice menu on the left side", "Klicken Sie auf Rechnungsmenü auf der linken Seite"
"Click the invoice data on the right side", "Klicken Sie auf die Rechnungsdaten auf der rechten Seite"
"Click on Credit memo", "Klicken Sie auf Gutschrift"
"Choose the product quantity that you want to refund at Qty to Refund column", "Wählen Sie die Produktmenge, die Sie erstatten möchten, in Spalte Zu erstattungsmenge"
"Click the Update Qty’s button", "Klicken Sie auf die Schaltfläche Menge aktualisieren."
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Eingabe Erstattung Versand, Anpassung Erstattung, Anpassungsgebühr"
"Then click the refund button", "Klicken Sie dann auf die Schaltfläche Erstattung."

"Error while Processing Request: please try again.", "Fehler beim Verarbeiten der Anforderung: Bitte versuchen Sie es erneut."
"Your order on", "Ihre Bestellung auf"
"is in the process.", "ist im Prozess."
"Please back again after a minutes and check your order history", "Bitte nach wenigen Minuten wieder zurück und überprüfen Sie Ihre Bestellhistorie"
"processing", "Verarbeitung"
"payment_accepted", "Akzeptierte Zahlung"
