"Paysley", "Paysley"
"Paysley Settings", "Configuración de Paysley"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley redirige a los clientes a Paysley para introducir su información de pago."
"Title", "Título"
"This is the title which the user sees during checkout.", "Este es el título que el usuario ve durante la compra."
"Description", "Descripción"
"This is the description which the user sees during checkout.", "Esta es la descripción que el usuario ve durante la compra."
"Access Key", "Clave de acceso"
"This is the access key, received from Paysley developer portal. ( required )", "Esta es la clave de acceso, recibida desde el portal del desarrollador Paysley. (obligatorio)"
"Enable Logging", "Habilitar registro"
"Enable transaction logging for Paysley.", "Habilitar el registro de transacciones para Paysley."
"Payment Methods", "Formas de pago"
"Active", "Activo"
"Error while Processing Request: please try again.", "Error al procesar la solicitud: inténtalo de nuevo."
"How to execute a Full Refund?", "¿Cómo ejecutar un reembolso completo?"
"How to execute a Partial Refund?", "¿Cómo ejecutar un reembolso parcial?"

"On administration panel go to menu : Sales > Orders", "En el panel de administración vaya al menú: Ventas > Pedidos"
"Select the transaction that you want to refund", "Seleccione la transacción que desea reembolsar"
"Click invoice menu on the left side", "Haga clic en el menú Factura en el lado izquierdo"
"Click the invoice data on the right side", "Haga clic en los datos de la factura a la derecha"
"Click on Credit memo", "Haga clic en Nota de crédito"
"Then click the refund button", "A continuación, haz clic en el botón de reembolso"
"On administration panel go to menu : Sales > Orders", "En el panel de administración vaya al menú: Ventas > Pedidos"
"Select the transaction that you want to refund", "Seleccione la transacción que desea reembolsar"
"Click invoice menu on the left side", "Haga clic en el menú Factura en el lado izquierdo"
"Click the invoice data on the right side", "Haga clic en los datos de la factura a la derecha"
"Click on Credit memo", "Haga clic en Nota de crédito"
"Choose the product quantity that you want to refund at Qty to Refund column", "Selecciona la cantidad de producto que quieres reembolsar en la columna Cantidad a Reembolso"
"Click the Update Qty’s button", "Haga clic en el botón Actualizar cantidad"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Entrada de reembolso de envío, reembolso de ajuste, tarifa de ajuste"
"Then click the refund button", "A continuación, haz clic en el botón de reembolso"

"Error while Processing Request: please try again.", "Error al procesar la solicitud: inténtalo de nuevo."
"Your order on", "Su pedido en"
"is in the process.", "está en proceso."
"Please back again after a minutes and check your order history", "Por favor, vuelva después de unos minutos y compruebe su historial de pedidos"
"processing", "Procesamiento"
"payment_accepted", "Pago Aceptado"
