"Paysley", "Paysley"
"Paysley Settings", "Paysley Asetukset"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley ohjaa asiakkaat Paysley syöttämään maksutietonsa."
"Title", "Otsikko"
"This is the title which the user sees during checkout.", "Tämä on otsikko, jonka käyttäjä näkee kassalla."
"Description", "Kuvaus"
"This is the description which the user sees during checkout.", "Tämä on kuvaus, jonka käyttäjä näkee kassalla."
"Access Key", "Access Avain"
"This is the access key, received from Paysley developer portal. ( required )", "Tämä on käyttöavain, vastaanotettu Paysley kehittäjäportaali. (vaaditaan)"
"Enable Logging", "Ota kirjaaminen käyttöön"
"Enable transaction logging for Paysley.", "Ota tapahtumalokin käyttöön Paysley."
"Payment Methods", "Maksutavat"
"Active", "Aktiivinen"
"Error while Processing Request: please try again.", "Virhe pyynnön käsittelyn aikana: yritä uudelleen."
"How to execute a Full Refund?", "Kuinka suorittaa täysi hyvitys?"
"How to execute a Partial Refund?", "Kuinka suorittaa osittainen hyvitys?"

"On administration panel go to menu : Sales > Orders", "Hallintapaneelissa siirry valikkoon: Myynti > Tilaukset"
"Select the transaction that you want to refund", "Valitse tapahtuma, jonka haluat palauttaa"
"Click invoice menu on the left side", "Klikkaa laskuvalikkoa vasemmassa reunassa"
"Click the invoice data on the right side", "Klikkaa laskun tietoja oikealla puolella"
"Click on Credit memo", "Klikkaa hyvitysmuistio"
"Then click the refund button", "Napsauta sitten hyvityspainiketta"
"On administration panel go to menu : Sales > Orders", "Hallintapaneelissa siirry valikkoon: Myynti > Tilaukset"
"Select the transaction that you want to refund", "Valitse tapahtuma, jonka haluat palauttaa"
"Click invoice menu on the left side", "Klikkaa laskuvalikkoa vasemmassa reunassa"
"Click the invoice data on the right side", "Klikkaa laskun tietoja oikealla puolella"
"Click on Credit memo", "Klikkaa hyvitysmuistio"
"Choose the product quantity that you want to refund at Qty to Refund column", "Valitse tuotemäärä, jonka haluat hyvittää Qty to Refund -sarakkeessa"
"Click the Update Qty’s button", "Napsauta Päivitä Qty -painiketta"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Syöttöhyvityksen toimitus, oikaisu hyvitys, säätömaksu"
"Then click the refund button", "Napsauta sitten hyvityspainiketta"

"Error while Processing Request: please try again.", "Virhe pyynnön käsittelyn aikana: yritä uudelleen."
"Your order on", "Tilauksesi"
"is in the process.", "on parhaillaan."
"Please back again after a minutes and check your order history", "Palaa takaisin minuutin kuluttua ja tarkista tilaushistoria"
"processing", "Käsittely"
"payment_accepted", "Maksu hyväksytty"
