"Paysley", "Paysley"
"Paysley Settings", "Pengaturan Paysley"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley mengalihkan pelanggan untuk Paysley untuk memasukkan informasi pembayaran mereka."
"Title", "Judul"
"This is the title which the user sees during checkout.", "Ini adalah judul yang pengguna melihat selama checkout."
"Description", "Deskripsi"
"This is the description which the user sees during checkout.", "Ini adalah deskripsi yang pengguna melihat selama checkout."
"Access Key", "Kunci Akses"
"This is the access key, received from Paysley developer portal. ( required )", "Ini adalah kunci akses, diterima dari portal pengembang Paysley. (diperlukan)"
"Enable Logging", "Aktifkan Pendataan"
"Enable transaction logging for Paysley.", "Aktifkan pencatatan transaksi untuk paysley."
"Payment Methods", "Metode Pembayaran"
"Active", "Aktif"
"Error while Processing Request: please try again.", "Galat saat Permintaan Pemrosesan: silakan coba lagi."
"How to execute a Full Refund?", "Bagaimana cara melakukan Pengembalian Dana Penuh?"
"How to execute a Partial Refund?", "Bagaimana cara melakukan Pengembalian Sebagian?"

"On administration panel go to menu : Sales > Orders", "Pada panel administrasi masuk ke menu: Penjualan > Pesanan"
"Select the transaction that you want to refund", "Pilih transaksi yang ingin Anda refund"
"Click invoice menu on the left side", "Klik menu faktur di sisi kiri"
"Click the invoice data on the right side", "Klik data faktur di sisi kanan"
"Click on Credit memo", "Klik memo Kredit"
"Then click the refund button", "Kemudian klik tombol pengembalian dana"
"On administration panel go to menu : Sales > Orders", "Pada panel administrasi masuk ke menu: Penjualan > Pesanan"
"Select the transaction that you want to refund", "Pilih transaksi yang ingin Anda refund"
"Click invoice menu on the left side", "Klik menu faktur di sisi kiri"
"Click the invoice data on the right side", "Klik data faktur di sisi kanan"
"Click on Credit memo", "Klik memo Kredit"
"Choose the product quantity that you want to refund at Qty to Refund column", "Pilih jumlah produk yang ingin Anda refund di kolom Qty to Refund"
"Click the Update Qty’s button", "Klik tombol Perbarui Qty"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Masukan Pengembalian Dana Pengiriman, Penyesuaian Pengembalian Dana, Biaya Ongkos"
"Then click the refund button", "Kemudian klik tombol pengembalian dana"

"Error while Processing Request: please try again.", "Galat saat Permintaan Pemrosesan: silakan coba lagi."
"Your order on", "Pesanan Anda di"
"is in the process.", "sedang dalam proses."
"Please back again after a minutes and check your order history", "Silakan kembali lagi setelah beberapa menit dan periksa riwayat pesanan Anda"
"processing", "Pengolahan"
"payment_accepted", "Pembayaran Diterima"
