"Paysley", "Paysley"
"Paysley Settings", "Impostazioni Paysley"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley reindirizza i clienti a Paysley per inserire le informazioni di pagamento."
"Title", "Titolo"
"This is the title which the user sees during checkout.", "Questo è il titolo che l'utente vede durante il checkout."
"Description", "Descrizione"
"This is the description which the user sees during checkout.", "Questa è la descrizione che l'utente vede durante il checkout."
"Access Key", "Chiave di accesso"
"This is the access key, received from Paysley developer portal. ( required )", "Questa è la chiave di accesso, ricevuta dal portale per sviluppatori Paysley. (obbligatorio)"
"Enable Logging", "Abilita registrazione"
"Enable transaction logging for Paysley.", "Abilita la registrazione delle transazioni per paysley."
"Payment Methods", "Metodi di pagamento"
"Active", "Attivo"
"Error while Processing Request: please try again.", "Errore durante l'elaborazione della richiesta: riprova."
"How to execute a Full Refund?", "Come eseguire un rimborso completo?"
"How to execute a Partial Refund?", "Come eseguire un rimborso parziale?"

"On administration panel go to menu : Sales > Orders", "Nel pannello di amministrazione vai al menu: Vendite > Ordini"
"Select the transaction that you want to refund", "Seleziona la transazione che desideri rimborsare"
"Click invoice menu on the left side", "Clicca sul menu fattura sul lato sinistro"
"Click the invoice data on the right side", "Clicca sui dati della fattura sul lato destro"
"Click on Credit memo", "Clicca su Nota di credito"
"Then click the refund button", "Quindi clicca sul pulsante Rimborso"
"On administration panel go to menu : Sales > Orders", "Nel pannello di amministrazione vai al menu: Vendite > Ordini"
"Select the transaction that you want to refund", "Seleziona la transazione che desideri rimborsare"
"Click invoice menu on the left side", "Clicca sul menu fattura sul lato sinistro"
"Click the invoice data on the right side", "Clicca sui dati della fattura sul lato destro"
"Click on Credit memo", "Clicca su Nota di credito"
"Choose the product quantity that you want to refund at Qty to Refund column", "Scegli la quantità di prodotto che desideri rimborsare nella colonna Qtà da rimborsare"
"Click the Update Qty’s button", "Fare clic sul pulsante Aggiorna quantità"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Spedizione rimborso input, Rimborso adeguamento, Tariffa di adeguamento"
"Then click the refund button", "Quindi clicca sul pulsante Rimborso"

"Error while Processing Request: please try again.", "Errore durante l'elaborazione della richiesta: riprova."
"Your order on", "Il tuo ordine su"
"is in the process.", "è in corso."
"Please back again after a minutes and check your order history", "Si prega di tornare indietro dopo un minuto e controllare la cronologia degli ordini"
"processing", "Elaborazione"
"payment_accepted", "Pagamento Acettato"
