"Paysley", "Paysley"
"Paysley Settings", "Paysley設定"
"Paysley redirects customers to Paysley to enter their payment information.","Paysleyは、顧客をPaysleyにリダイレクトし、支払い情報を入力します。"
"Title", "タイトル"
"This is the title which the user sees during checkout.", "これは、ユーザーがチェックアウト時に表示されるタイトルです。"
"Description", "説明"
"This is the description which the user sees during checkout.", "これは、ユーザーがチェックアウト時に表示される説明です。"
"Access Key", "アクセスキー"
"This is the access key, received from Paysley developer portal. ( required )", "Paysley開発者ポータルから受け取ったアクセスキーです。（必須）"
"Enable Logging", "ロギングの有効化"
"Enable transaction logging for Paysley.", "Paysley のトランザクションログを有効にします。"
"Payment Methods", "お支払い方法"
"Active", "アクティブ"
"Error while Processing Request: please try again.", "リクエストの処理中にエラーが発生しました:もう一度お試しください。"
"How to execute a Full Refund?", "全額払い戻しの方法は？"
"How to execute a Partial Refund?", "一部払い戻しの方法は？"

"On administration panel go to menu : Sales > Orders", "管理パネルで、「販売」>「注文」の順に選択します。"
"Select the transaction that you want to refund", "返金するトランザクションを選択します。"
"Click invoice menu on the left side", "左側の請求書メニューをクリックします。"
"Click the invoice data on the right side", "右側の請求書データをクリックします。"
"Click on Credit memo", "「クレジットメモ」をクリックします。"
"Then click the refund button", "次に、返金ボタンをクリックします。"
"On administration panel go to menu : Sales > Orders", "管理パネルで、「販売」>「注文」の順に選択します。"
"Select the transaction that you want to refund", "返金するトランザクションを選択します。"
"Click invoice menu on the left side", "左側の請求書メニューをクリックします。"
"Click the invoice data on the right side", "右側の請求書データをクリックします。
"
"Click on Credit memo", "「クレジットメモ」をクリックします。"
"Choose the product quantity that you want to refund at Qty to Refund column", "「返金数量」列で、返金する商品の数量を選択します。"
"Click the Update Qty’s button", "「数量の更新」ボタンをクリックします。"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "返金送料、調整返金、調整手数料"
"Then click the refund button", "次に、返金ボタンをクリックします。"

"Error while Processing Request: please try again.", "リクエストの処理中にエラーが発生しました:もう一度お試しください。"
"Your order on", "上のご注文は"
"is in the process.", "が処理中である。"
"Please back again after a minutes and check your order history", "数分後にもう一度戻って注文履歴を確認してください"
"processing", "処理中"
"payment_accepted", "支払いが受理されました"
