"Paysley", "Paysley"
"Paysley Settings", "Paysley 설정"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley은 고객이 결제 정보를 입력하도록 Paysley으로 리디렉션합니다."
"Title", "제목"
"This is the title which the user sees during checkout.", "이것은 체크 아웃하는 동안 사용자가 보는 제목입니다."
"Description", "설명"
"This is the description which the user sees during checkout.", "이것은 사용자가 체크 아웃하는 동안 볼 수있는 설명입니다."
"Access Key", "액세스 키"
"This is the access key, received from Paysley developer portal. ( required )", "Paysley 개발자 포털에서 받은 액세스 키입니다. (필수)"
"Enable Logging", "로깅 사용"
"Enable transaction logging for Paysley.", "Paysley에 대한 트랜잭션 로깅을 사용하도록 설정합니다."
"Payment Methods", "결제 방법"
"Active", "활성"
"Error while Processing Request: please try again.", "요청을 처리하는 동안 오류가 발생했습니다. 다시 시도하십시오."
"How to execute a Full Refund?", "전액 환불은 어떻게 처리하나요?"
"How to execute a Partial Refund?", "부분 환불을 수행하는 방법은 무엇입니까?"

"On administration panel go to menu : Sales > Orders", "관리 패널에서 메뉴로 이동합니다. 판매 > 주문"
"Select the transaction that you want to refund", "환불하려는 거래를 선택합니다."
"Click invoice menu on the left side", "왼쪽의 청구서 메뉴를 클릭합니다."
"Click the invoice data on the right side", "오른쪽에 있는 인보이스 데이터를 클릭합니다."
"Click on Credit memo", "대변 메모를 누릅니다."
"Then click the refund button", "그런 다음 환불 버튼을 클릭합니다."
"On administration panel go to menu : Sales > Orders", "관리 패널에서 메뉴로 이동합니다. 판매 > 주문"
"Select the transaction that you want to refund", "환불하려는 거래를 선택합니다."
"Click invoice menu on the left side", "왼쪽의 청구서 메뉴를 클릭합니다."
"Click the invoice data on the right side", "오른쪽에 있는 인보이스 데이터를 클릭합니다."
"Click on Credit memo", "대변 메모를 누릅니다."
"Choose the product quantity that you want to refund at Qty to Refund column", "환불할 수량 열에서 환불할 상품 수량을 선택합니다."
"Click the Update Qty’s button", "수량 업데이트 버튼을 클릭합니다."
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "환불 배송, 조정 환불, 조정 수수료 입력"
"Then click the refund button", "그런 다음 환불 버튼을 클릭합니다."

"Error while Processing Request: please try again.", "요청을 처리하는 동안 오류가 발생했습니다. 다시 시도하십시오."
"Your order on", "에 귀하의 주문"
"is in the process.", "이 프로세스에 있습니다."
"Please back again after a minutes and check your order history", "잠시 후 다시 돌아가서 주문 내역을 확인하십시오."
"processing", "처리 중"
"payment_accepted", "결제 수락됨"
