"Paysley", "Paysley"
"Paysley Settings", "Paysley-instellingen"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley stuurt klanten door naar Paysley om hun betaalgegevens in te voeren."
"Title", "Titel"
"This is the title which the user sees during checkout.", "Dit is de titel die de gebruiker tijdens het afrekenen ziet."
"Description", "Beschrijving"
"This is the description which the user sees during checkout.", "Dit is de beschrijving die de gebruiker tijdens het afrekenen ziet."
"Access Key", "Toegangssleutel"
"This is the access key, received from Paysley developer portal. ( required )", "Dit is de toegangssleutel, ontvangen van Paysley developer portal. (vereist)"
"Enable Logging", "Logboekregistratie inschakelen"
"Enable transaction logging for Paysley.", "Transactielogboekregistratie inschakelen voor Paysley."
"Payment Methods", "Betaalmethoden"
"Active", "Actief"
"Error while Processing Request: please try again.", "Fout tijdens het verwerken van aanvraag: probeer het opnieuw."
"How to execute a Full Refund?", "Hoe kan ik een volledige terugbetaling uitvoeren?"
"How to execute a Partial Refund?", "Hoe kan ik een gedeeltelijke terugbetaling uitvoeren?"

"On administration panel go to menu : Sales > Orders", "Ga in het beheerpaneel naar menu: Verkoop > Orders"
"Select the transaction that you want to refund", "Selecteer de transactie die u wilt terugbetalen"
"Click invoice menu on the left side", "Klik op factuurmenu aan de linkerkant"
"Click the invoice data on the right side", "Klik op de factuurgegevens aan de rechterkant"
"Click on Credit memo", "Klik op Creditmemo"
"Then click the refund button", "Klik vervolgens op de knop Terugbetalen"
"On administration panel go to menu : Sales > Orders", "Ga in het beheerpaneel naar menu: Verkoop > Orders"
"Select the transaction that you want to refund", "Selecteer de transactie die u wilt terugbetalen"
"Click invoice menu on the left side", "Klik op factuurmenu aan de linkerkant"
"Click the invoice data on the right side", "Klik op de factuurgegevens aan de rechterkant"
"Click on Credit memo", "Klik op Creditmemo"
"Choose the product quantity that you want to refund at Qty to Refund column", "Kies de producthoeveelheid die u wilt terugbetalen in de kolom Hoeveelheid aan restitutie"
"Click the Update Qty’s button", "Klik op de knop Aantal bijwerken"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Restitutie voor input, restitutie aanpassing, aanpassingskosten"
"Then click the refund button", "Klik vervolgens op de knop Terugbetalen"

"Error while Processing Request: please try again.", "Fout tijdens het verwerken van aanvraag: probeer het opnieuw."
"Your order on", "Uw bestelling op"
"is in the process.", "is in het proces."
"Please back again after a minutes and check your order history", "Gelieve na een minuut opnieuw terug te keren en uw bestelgeschiedenis te controleren"
"processing", "Verwerking"
"payment_accepted", "Betaling geaccepteerd"
