"Paysley", "Paysley"
"Paysley Settings", "Ustawienia Paysley"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley przekierowuje klientów do Paysley, aby wprowadzić swoje informacje o płatności."
"Title", "Tytuł"
"This is the title which the user sees during checkout.", "Jest to tytuł, który użytkownik widzi podczas realizacji transakcji."
"Description", "Opis"
"This is the description which the user sees during checkout.", "Jest to opis, który użytkownik widzi podczas realizacji transakcji."
"Access Key", "Klucz dostępu"
"This is the access key, received from Paysley developer portal. ( required )", "Jest to klucz dostępu, otrzymany z portalu programisty Paysley. (wymagane)"
"Enable Logging", "Włącz rejestrowanie"
"Enable transaction logging for Paysley.", "Włącz rejestrowanie transakcji dla Paysley."
"Payment Methods", "Metody płatności"
"Active", "Aktywny"
"Error while Processing Request: please try again.", "Błąd podczas przetwarzania żądania: spróbuj ponownie."
"How to execute a Full Refund?", "Jak zrealizować pełny zwrot pieniędzy?"
"How to execute a Partial Refund?", "Jak wykonać częściowy zwrot pieniędzy?"

"On administration panel go to menu : Sales > Orders", "W panelu administracyjnym przejdź do menu Sprzedaż > Zamówienia"
"Select the transaction that you want to refund", "Wybierz transakcję, którą chcesz zwrócić"
"Click invoice menu on the left side", "Kliknij menu faktury po lewej stronie"
"Click the invoice data on the right side", "Kliknij dane faktury po prawej stronie"
"Click on Credit memo", "Kliknij na notatkę kredytową"
"Then click the refund button", "Następnie kliknij przycisk Zwrot pieniędzy"
"On administration panel go to menu : Sales > Orders", "W panelu administracyjnym przejdź do menu Sprzedaż > Zamówienia"
"Select the transaction that you want to refund", "Wybierz transakcję, którą chcesz zwrócić"
"Click invoice menu on the left side", "Kliknij menu faktury po lewej stronie"
"Click the invoice data on the right side", "Kliknij dane faktury po prawej stronie"
"Click on Credit memo", "Kliknij na notatkę kredytową"
"Choose the product quantity that you want to refund at Qty to Refund column", "Wybierz ilość produktu, którą chcesz zwrócić w kolumnie Liczba do zwrotu kosztów"
"Click the Update Qty’s button", "Kliknij przycisk Aktualizuj Qty"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Wprowadzanie zwrotu kosztów wysyłki, zwrot korekty, opłata korygującą"
"Then click the refund button", "Następnie kliknij przycisk Zwrot pieniędzy"

"Error while Processing Request: please try again.", "Błąd podczas przetwarzania żądania: spróbuj ponownie."
"Your order on", "Twoje zamówienie na"
"is in the process.", "jest w trakcie."
"Please back again after a minutes and check your order history", "Wróć ponownie po upływie kilku minut i sprawdź historię zamówień"
"processing", "Przetwarzanie"
"payment_accepted", "Płatność zaakceptowana"
