"Paysley", "Paysley"
"Paysley Settings", "Configurações do Paysley"
"Paysley redirects customers to Paysley to enter their payment information.", "O Paysley redireciona os clientes para o Paysley"
"Title", "Título"
"This is the title which the user sees during checkout.", "Este é o título que o usuário vê durante a finalização da compra."
"Description", "Descrição"
"This is the description which the user sees during checkout.", "Esta é a descrição que o usuário vê durante a finalização da compra."
"Access Key", "Chave de acesso"
"This is the access key, received from Paysley developer portal. ( required )", "Esta é a chave de acesso, recebida do portal do desenvolvedor Paysley. (obrigatório)"
"Enable Logging", "Ativar registro em log"
"Enable transaction logging for Paysley.", "Habilitar o log de transações para MMMMM."
"Payment Methods", "Métodos de pagamento"
"Active", "Ativo"
"Error while Processing Request: please try again.", "Erro ao processar solicitação: tente novamente."
"How to execute a Full Refund?", "Como executar um reembolso total?"
"How to execute a Partial Refund?", "Como executar um reembolso parcial?"

"On administration panel go to menu : Sales > Orders", "No painel de administração, vá para o menu: Vendas > Pedidos"
"Select the transaction that you want to refund", "Selecione a transação que você deseja reembolsar"
"Click invoice menu on the left side", "Clique no menu de fatura no lado esquerdo"
"Click the invoice data on the right side", "Clique nos dados da fatura no lado direito"
"Click on Credit memo", "Clique em Memorando de crédito"
"Then click the refund button", "Em seguida, clique no botão de reembolso"
"On administration panel go to menu : Sales > Orders", "No painel de administração, vá para o menu: Vendas > Pedidos"
"Select the transaction that you want to refund", "Selecione a transação que você deseja reembolsar"
"Click invoice menu on the left side", "Clique no menu de fatura no lado esquerdo"
"Click the invoice data on the right side", "Clique nos dados da fatura no lado direito"
"Click on Credit memo", "Clique em Memorando de crédito"
"Choose the product quantity that you want to refund at Qty to Refund column", "Escolha a quantidade do produto que você deseja reembolsar na coluna Qtd a Reembolsar"
"Click the Update Qty’s button", "Clique no botão Atualizar Qtd."
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Envio de reembolso de entrada, reembolso de ajuste, taxa de ajuste"
"Then click the refund button", "Em seguida, clique no botão de reembolso"

"Error while Processing Request: please try again.", "Erro ao processar solicitação: tente novamente."
"Your order on", "Seu pedido em"
"is in the process.", "está no processo."
"Please back again after a minutes and check your order history", "Volte novamente após alguns minutos e verifique seu histórico de pedidos"
"processing", "Processando"
"payment_accepted", "Pagamento aceito"
