"Paysley", "Paysley"
"Paysley Settings", "Параметры Paysley"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley перенаправляет клиентов на Paysley для ввода платежных данных."
"Title", "Название"
"This is the title which the user sees during checkout.", "Это название, которое пользователь видит во время оформления заказа."
"Description", "Описание"
"This is the description which the user sees during checkout.", "Это описание, которое пользователь видит во время оформления заказа."
"Access Key", "Ключ доступа"
"This is the access key, received from Paysley developer portal. ( required )", "Это ключ доступа, полученный с портала разработчика Paysley. (обязательно)"
"Enable Logging", "Включить ведение журнала"
"Enable transaction logging for Paysley.", "Включить ведение журнала транзакций для Paysley."
"Payment Methods", "Способы оплаты"
"Active", "Активный"
"Error while Processing Request: please try again.", "Ошибка при обработке запроса: повторите попытку."
"How to execute a Full Refund?", "Как выполнить полный возврат средств?"
"How to execute a Partial Refund?", "Как выполнить частичный возврат средств?"

"On administration panel go to menu : Sales > Orders", "На панели администрирования перейдите в меню: Продажи > Заказы"
"Select the transaction that you want to refund", "Выберите проводку, которую вы хотите вернуть"
"Click invoice menu on the left side", "Выберите меню накладной в левой части"
"Click the invoice data on the right side", "Щелкните данные накладной справа"
"Click on Credit memo", "Нажмите на Кредит-ноту"
"Then click the refund button", "Затем нажмите кнопку возврата средств"
"On administration panel go to menu : Sales > Orders", "На панели администрирования перейдите в меню: Продажи > Заказы"
"Select the transaction that you want to refund", "Выберите проводку, которую вы хотите вернуть"
"Click invoice menu on the left side", "Выберите меню накладной в левой части"
"Click the invoice data on the right side", "Щелкните данные накладной справа"
"Click on Credit memo", "Нажмите на Кредит-ноту"
"Choose the product quantity that you want to refund at Qty to Refund column", "Выберите количество товара, которое вы хотите вернуть в столбце «Кол-во к возврату»"
"Click the Update Qty’s button", "Нажмите кнопку Обновить Кол-во"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Возврат входного платежа, возврат коррекции, плата за корректировку"
"Then click the refund button", "Затем нажмите кнопку возврата средств"

"Error while Processing Request: please try again.", "Ошибка при обработке запроса: повторите попытку."
"Your order on", "Ваш заказ на"
"is in the process.", "находится в процессе."
"Please back again after a minutes and check your order history", "Пожалуйста, вернитесь через несколько минут и проверьте историю заказов"
"processing", "Обработка"
"payment_accepted", "Оплата принята"
