"Paysley", "Paysley"
"Paysley Settings", "Paysley-inställningar"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley omdirigerar kunder till Paysley för att ange deras betalningsinformation."
"Title", "Titel"
"This is the title which the user sees during checkout.", "Detta är den titel som användaren ser i kassan."
"Description", "Beskrivning"
"This is the description which the user sees during checkout.", "Detta är beskrivningen som användaren ser i kassan."
"Access Key", "Åtkomstnyckel"
"This is the access key, received from Paysley developer portal. ( required )", "Detta är åtkomstnyckeln som tas emot från Paysley-utvecklarportalen. (krävs)"
"Enable Logging", "Aktivera loggning"
"Enable transaction logging for Paysley.", "Aktivera transaktionsloggning för Paysley."
"Payment Methods", "Betalningsmetoder"
"Active", "Aktiv"
"Error while Processing Request: please try again.", "Fel vid bearbetning av begäran: försök igen."
"How to execute a Full Refund?", "Hur utför man en fullständig återbetalning?"
"How to execute a Partial Refund?", "Hur utför man en partiell återbetalning?"

"On administration panel go to menu : Sales > Orders", "På administrationspanelen gå till menyn: Försäljning > Beställningar"
"Select the transaction that you want to refund", "Välj den transaktion som du vill återbetala"
"Click invoice menu on the left side", "Klicka på faktura-menyn till vänster"
"Click the invoice data on the right side", "Klicka på fakturadata till höger"
"Click on Credit memo", "Klicka på Kreditnota"
"Then click the refund button", "Klicka sedan på återbetalningsknappen"
"On administration panel go to menu : Sales > Orders", "På administrationspanelen gå till menyn: Försäljning > Beställningar"
"Select the transaction that you want to refund", "Välj den transaktion som du vill återbetala"
"Click invoice menu on the left side", "Klicka på faktura-menyn till vänster"
"Click the invoice data on the right side", "Klicka på fakturadata till höger"
"Click on Credit memo", "Klicka på Kreditnota"
"Choose the product quantity that you want to refund at Qty to Refund column", "Välj den produktkvantitet som du vill återbetala i kolumnen Antal till återbetalning"
"Click the Update Qty’s button", "Klicka på knappen Uppdatera Qty"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Ingång återbetalning frakt, justering återbetalning, justeringsavgift"
"Then click the refund button", "Klicka sedan på återbetalningsknappen"

"Error while Processing Request: please try again.", "Fel vid bearbetning av begäran: försök igen."
"Your order on", "Din beställning på"
"is in the process.", "är på gång."
"Please back again after a minutes and check your order history", "Vänligen tillbaka igen efter en minut och kontrollera din orderhistorik"
"processing", "Bearbetning"
"payment_accepted", "Betalning accepterad"
