"Paysley", "Paysley"
"Paysley Settings", "Paysley Ayarları"
"Paysley redirects customers to Paysley to enter their payment information.", "Paysley müşterileri ödeme bilgilerini girmek için Paysley'ye yönlendirir."
"Title", "Başlık"
"This is the title which the user sees during checkout.", "Bu, kullanıcının ödeme sırasında gördüğü başlıktır."
"Description", "Açıklaması"
"This is the description which the user sees during checkout.", "Bu, kullanıcının ödeme sırasında gördüğü açıklamadır."
"Access Key", "Erişim Anahtarı"
"This is the access key, received from Paysley developer portal. ( required )", "Bu, Paysley geliştirici portalından alınan erişim anahtarıdır. (gerekli)"
"Enable Logging", "Günlüğü Etkinleştir"
"Enable transaction logging for Paysley.", "Paysley için işlem günlüğü etkinleştirin."
"Payment Methods", "Ödeme Yöntemleri"
"Active", "Aktif"
"Error while Processing Request: please try again.", "Talep İşleme sırasında hata oluştu: lütfen tekrar deneyin."
"How to execute a Full Refund?", "Tam Para İadesi nasıl yürütülür?"
"How to execute a Partial Refund?", "Kısmi Para İadesi Nasıl Yapılır?"

"On administration panel go to menu : Sales > Orders", "Yönetim panelinde menüye gidin: Satış > Siparişler"
"Select the transaction that you want to refund", "Para iadesi yapmak istediğiniz işlemi seçin"
"Click invoice menu on the left side", "Sol taraftaki fatura menüsüne tıklayın"
"Click the invoice data on the right side", "Sağ taraftaki fatura verilerine tıklayın"
"Click on Credit memo", "Kredi notuna tıklayın"
"Then click the refund button", "Ardından para iadesi düğmesine tıklayın"
"On administration panel go to menu : Sales > Orders", "Yönetim panelinde menüye gidin: Satış > Siparişler"
"Select the transaction that you want to refund", "Para iadesi yapmak istediğiniz işlemi seçin"
"Click invoice menu on the left side", "Sol taraftaki fatura menüsüne tıklayın"
"Click the invoice data on the right side", "Sağ taraftaki fatura verilerine tıklayın"
"Click on Credit memo", "Kredi notuna tıklayın"
"Choose the product quantity that you want to refund at Qty to Refund column", "Para iadesi için para iadesi yapmak istediğiniz ürün miktarını seçin"
"Click the Update Qty’s button", "Miktar Güncelle düğmesine tıklayın"
"Input Refund Shipping, Adjustment Refund, Adjustment Fee", "Giriş İadesi Kargo, Ayarlama İadesi, Ayarlama Ücreti"
"Then click the refund button", "Ardından para iadesi düğmesine tıklayın"

"Error while Processing Request: please try again.", "Talep İşleme sırasında hata oluştu: lütfen tekrar deneyin."
"Your order on", "Siparişiniz üzerinde"
"is in the process.", "bu süreçte."
"Please back again after a minutes and check your order history", "Lütfen bir dakika sonra tekrar geri dönün ve sipariş geçmişinizi kontrol edin"
"processing", "İşleme"
"payment_accepted", "Ödeme Kabul Edildi"
